Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),95% CI (IT),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q01,Give me the movies that have more than four actors with the same birth year,Mistral Nemo 12B,12B,False,0.15,100.0,82.342,3.8776,"[77.8922, 90.4335]",2.9208,True,True,81.399,86.0602,86.9374
Q02,Give me the movies that have more than four actors born in the same year as another actor in the cast,Mistral Nemo 12B,12B,False,0.15,100.0,83.2408,5.4108,"[81.2543, 85.2273]",2.9334,True,True,83.5041,88.8705,91.6645
Q03,"Give me the director and actors of any 1990 movie, provided that one of the actors was born in 2002",Mistral Nemo 12B,12B,False,0.15,96.67,103.3494,3.448,"[99.9171, 111.8132]",2.9605,True,True,102.572,104.736,108.0424
Q04,"Give me the shortest path between Article where title is Open sets satisfying systems of congruences and Report, with report_id equal 5049b80a2935f95cc95cf14dbfb8c610, including the nodes on the path!",Mistral Nemo 12B,12B,False,0.15,100.0,89.722,6.1684,"[84.6097, 100.6122]",2.9702,True,True,87.6016,93.2985,93.7685
Q05,Give me the name of the Application that has the most incoming connections from other Applications,Mistral Nemo 12B,12B,False,0.15,100.0,41.0418,5.5369,"[37.1738, 53.3817]",2.9486,True,True,38.7391,50.8148,51.8554
Q06,Give me the nodes that are 3 hops away from Keyword for which key_id=6ded85146e3dbfb1bb866831b8948f5b!,Mistral Nemo 12B,12B,False,0.15,100.0,70.355,12.0251,"[58.7844, 88.8379]",2.9641,True,True,62.522,87.2149,88.0616
Q07,Give me the movies that have an actor with more salary than Meryl Streep and Clint Eastwood together,Mistral Nemo 12B,12B,False,0.15,100.0,112.5301,15.8833,"[106.2772, 136.1699]",2.9419,True,True,109.7253,112.3441,113.1574
Q08,Give me the actors whose father is among the top 5 highest-paid directors,Mistral Nemo 12B,12B,False,0.15,100.0,78.0184,2.8489,"[76.9725, 79.0644]",2.9576,True,True,78.539,81.2895,82.3092
Q09,Give me the movies that have no actors that have work with Meryl Streep in any movie,Mistral Nemo 12B,12B,False,0.15,100.0,74.5261,4.9834,"[64.7236, 83.3707]",2.9714,True,True,74.8818,79.4408,80.8187
Q10,Give me the movies where all the main actors have won more awards than any Argentine actor,Mistral Nemo 12B,12B,False,0.15,100.0,104.254,4.7489,"[94.6557, 110.4036]",2.9513,True,True,105.8903,108.9796,109.7797
Q11,Give me the actors who got married in 1980 where one of them appears in The Matrix?,Mistral Nemo 12B,12B,False,0.15,100.0,92.7947,1.5256,"[92.2346, 93.3548]",2.9611,True,True,92.6354,94.5543,95.3712
Q12,Give me the actors of The Matrix along with the three actors who have acted the most in any movie with them,Mistral Nemo 12B,12B,False,0.15,96.67,81.5684,6.1304,"[74.9624, 91.8685]",2.9608,True,True,77.7794,89.8363,90.9254
Q13,Give me the movies and its featuring actors that have won an Oscar,Mistral Nemo 12B,12B,False,0.15,100.0,79.7742,5.807,"[64.9681, 84.3750]",2.9596,True,True,81.482,83.8224,84.2063
Q14,Give me the people who have directed or acted in more than 5 occasions,Mistral Nemo 12B,12B,False,0.15,90.0,64.6139,6.6131,"[48.5603, 70.3060]",2.9544,True,True,66.8803,69.9115,69.9749
