Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q01,Give me the communication routes between the server with ID 'SR45' and any server at the University of Oviedo.,Gemma 4 26B,26B,False,0.05,100.0,120.6998,2.4666,3.6233,True,True,120.3537,122.9466,123.7815
Q02,Give me each Queen of England along with the list of their residences.,Gemma 4 26B,26B,False,0.05,100.0,77.4944,0.0336,3.5421,True,True,77.482,77.5307,77.5314
Q03,Give me the third-degree relatives of Alfonso X.,Gemma 4 26B,26B,False,0.05,100.0,84.3588,3.194,3.5396,True,True,85.7803,85.8044,85.8052
Q04,Give me all the groups that directly or indirectly influenced Queen.,Gemma 4 26B,26B,False,0.05,100.0,64.7663,10.4331,3.5441,True,True,69.411,69.4643,69.4759
Q05,Give me the routes from Madrid to Barcelona that do not pass through Huesca.,Gemma 4 26B,26B,False,0.05,100.0,233.7121,358.0115,3.5388,True,True,73.5956,553.9761,714.0593
Q06,Give me the list of salaries of Málaga players who are under 20 years old.,Gemma 4 26B,26B,False,0.05,100.0,90.2959,12.5342,3.6691,True,True,84.7182,101.5234,107.1205
Q07,Give me the routes between Oviedo and Málaga whose total distance is less than 1000 km.,Gemma 4 26B,26B,False,0.05,100.0,86.762,1.3653,3.6307,True,True,86.1624,87.9876,88.5958
Q08,Give me the universities that rank between 10th and 20th in terms of highest funding.,Gemma 4 26B,26B,False,0.05,100.0,117.9172,1.9343,3.6262,True,True,117.0881,119.6619,120.5192
Q09,Give me the actors whose father has more money than the top 5 highest-paid directors combined.,Gemma 4 26B,26B,False,0.05,100.0,129.1413,8.9313,3.5761,True,True,125.1487,137.1457,141.1319
Q10,Give me the movies in which all the main actors earn more money than the highest-paid Argentine actor.,Gemma 4 26B,26B,False,0.05,100.0,297.1344,189.8712,3.534,True,True,164.8895,511.8562,535.8036
